adhesivity_throughput_100,particle_size,weight_coefficient
1.0,0.02,0.0
0.91,0.04,0.0
0.59,0.06,0.0
0.44,0.08,0.0
0.33,0.1,0.0
1.0,0.02,0.25
0.87,0.04,0.25
0.59,0.06,0.25
0.44,0.08,0.25
0.33,0.1,0.25
1.0,0.02,0.5
0.74,0.04,0.5
0.51,0.06,0.5
0.38,0.08,0.5
0.31,0.1,0.5
0.99,0.02,0.75
0.66,0.04,0.75
0.44,0.06,0.75
0.32,0.08,0.75
0.25,0.1,0.75
0.99,0.02,1.0
0.61,0.04,1.0
0.39,0.06,1.0
0.29,0.08,1.0
0.22,0.1,1.0
0.99,0.02,1.25
0.57,0.04,1.25
0.36,0.06,1.25
0.26,0.08,1.25
0.19,0.1,1.25
0.98,0.02,1.5
0.53,0.04,1.5
0.33,0.06,1.5
0.23,0.08,1.5
0.17,0.1,1.5
0.98,0.02,1.75
0.5,0.04,1.75
0.31,0.06,1.75
0.21,0.08,1.75
0.15,0.1,1.75
0.97,0.02,2.0
0.47,0.04,2.0
0.28,0.06,2.0
0.19,0.08,2.0
0.14,0.1,2.0
0.97,0.02,2.25
0.44,0.04,2.25
0.26,0.06,2.25
0.17,0.08,2.25
0.12,0.1,2.25
0.96,0.02,2.5
0.4,0.04,2.5
0.24,0.06,2.5
0.15,0.08,2.5
0.11,0.1,2.5
0.96,0.02,2.75
0.36,0.04,2.75
0.22,0.06,2.75
0.14,0.08,2.75
0.1,0.1,2.75
0.95,0.02,3.0
0.32,0.04,3.0
0.19,0.06,3.0
0.13,0.08,3.0
0.1,0.1,3.0
0.95,0.02,3.25
0.29,0.04,3.25
0.17,0.06,3.25
0.11,0.08,3.25
0.09,0.1,3.25
0.94,0.02,3.5
0.26,0.04,3.5
0.16,0.06,3.5
0.11,0.08,3.5
0.08,0.1,3.5
0.94,0.02,3.75
0.24,0.04,3.75
0.14,0.06,3.75
0.1,0.08,3.75
0.08,0.1,3.75
0.93,0.02,4.0
0.22,0.04,4.0
0.13,0.06,4.0
0.09,0.08,4.0
0.07,0.1,4.0
0.42,0.02,4.25
0.2,0.04,4.25
0.12,0.06,4.25
0.09,0.08,4.25
0.07,0.1,4.25
0.37,0.02,4.5
0.19,0.04,4.5
0.11,0.06,4.5
0.08,0.08,4.5
0.07,0.1,4.5
0.34,0.02,4.75
0.17,0.04,4.75
0.1,0.06,4.75
0.08,0.08,4.75
0.06,0.1,4.75
0.32,0.02,5.0
0.16,0.04,5.0
0.1,0.06,5.0
0.07,0.08,5.0
0.06,0.1,5.0
0.3,0.02,5.25
0.15,0.04,5.25
0.09,0.06,5.25
0.07,0.08,5.25
0.06,0.1,5.25
0.29,0.02,5.5
0.14,0.04,5.5
0.09,0.06,5.5
0.07,0.08,5.5
0.06,0.1,5.5
0.28,0.02,5.75
0.14,0.04,5.75
0.09,0.06,5.75
0.06,0.08,5.75
0.05,0.1,5.75
0.27,0.02,6.0
0.13,0.04,6.0
0.08,0.06,6.0
0.06,0.08,6.0
0.05,0.1,6.0
0.26,0.02,6.25
0.12,0.04,6.25
0.08,0.06,6.25
0.06,0.08,6.25
0.05,0.1,6.25
0.25,0.02,6.5
0.12,0.04,6.5
0.08,0.06,6.5
0.06,0.08,6.5
0.05,0.1,6.5
0.24,0.02,6.75
0.12,0.04,6.75
0.07,0.06,6.75
0.06,0.08,6.75
0.05,0.1,6.75
0.23,0.02,7.0
0.11,0.04,7.0
0.07,0.06,7.0
0.05,0.08,7.0
0.05,0.1,7.0
0.23,0.02,7.25
0.11,0.04,7.25
0.07,0.06,7.25
0.05,0.08,7.25
0.04,0.1,7.25
0.22,0.02,7.5
0.1,0.04,7.5
0.07,0.06,7.5
0.05,0.08,7.5
0.04,0.1,7.5
0.21,0.02,7.75
0.1,0.04,7.75
0.06,0.06,7.75
0.05,0.08,7.75
0.04,0.1,7.75
0.21,0.02,8.0
0.1,0.04,8.0
0.06,0.06,8.0
0.05,0.08,8.0
0.04,0.1,8.0
