adhesivity_throughput_100,particle_size,n
0.05,0.01,0.01
0.05,0.02,0.01
0.05,0.03,0.01
0.05,0.04,0.01
0.05,0.05,0.01
0.05,0.06,0.01
0.05,0.07,0.01
0.05,0.08,0.01
0.05,0.09,0.01
0.05,0.1,0.01
0.05,0.01,0.02
0.05,0.02,0.02
0.05,0.03,0.02
0.05,0.04,0.02
0.05,0.05,0.02
0.05,0.06,0.02
0.05,0.07,0.02
0.05,0.08,0.02
0.05,0.09,0.02
0.05,0.1,0.02
0.1,0.01,0.03
0.05,0.02,0.03
0.05,0.03,0.03
0.05,0.04,0.03
0.05,0.05,0.03
0.05,0.06,0.03
0.05,0.07,0.03
0.05,0.08,0.03
0.05,0.09,0.03
0.05,0.1,0.03
0.15,0.01,0.04
0.05,0.02,0.04
0.05,0.03,0.04
0.05,0.04,0.04
0.05,0.05,0.04
0.05,0.06,0.04
0.05,0.07,0.04
0.05,0.08,0.04
0.05,0.09,0.04
0.05,0.1,0.04
0.2,0.01,0.05
0.1,0.02,0.05
0.05,0.03,0.05
0.05,0.04,0.05
0.05,0.05,0.05
0.05,0.06,0.05
0.05,0.07,0.05
0.05,0.08,0.05
0.05,0.09,0.05
0.05,0.1,0.05
0.25,0.01,0.06
0.1,0.02,0.06
0.05,0.03,0.06
0.05,0.04,0.06
0.05,0.05,0.06
0.05,0.06,0.06
0.05,0.07,0.06
0.05,0.08,0.06
0.05,0.09,0.06
0.05,0.1,0.06
0.35,0.01,0.07
0.15,0.02,0.07
0.1,0.03,0.07
0.05,0.04,0.07
0.05,0.05,0.07
0.05,0.06,0.07
0.05,0.07,0.07
0.05,0.08,0.07
0.05,0.09,0.07
0.05,0.1,0.07
0.4,0.01,0.08
0.15,0.02,0.08
0.1,0.03,0.08
0.05,0.04,0.08
0.05,0.05,0.08
0.05,0.06,0.08
0.05,0.07,0.08
0.05,0.08,0.08
0.05,0.09,0.08
0.05,0.1,0.08
0.45,0.01,0.09
0.2,0.02,0.09
0.1,0.03,0.09
0.05,0.04,0.09
0.05,0.05,0.09
0.05,0.06,0.09
0.05,0.07,0.09
0.05,0.08,0.09
0.05,0.09,0.09
0.05,0.1,0.09
0.55,0.01,0.1
0.2,0.02,0.1
0.1,0.03,0.1
0.1,0.04,0.1
0.05,0.05,0.1
0.05,0.06,0.1
0.05,0.07,0.1
0.05,0.08,0.1
0.05,0.09,0.1
0.05,0.1,0.1
0.6,0.01,0.11
0.25,0.02,0.11
0.15,0.03,0.11
0.1,0.04,0.11
0.05,0.05,0.11
0.05,0.06,0.11
0.05,0.07,0.11
0.05,0.08,0.11
0.05,0.09,0.11
0.05,0.1,0.11
0.7,0.01,0.12
0.25,0.02,0.12
0.15,0.03,0.12
0.1,0.04,0.12
0.1,0.05,0.12
0.05,0.06,0.12
0.05,0.07,0.12
0.05,0.08,0.12
0.05,0.09,0.12
0.05,0.1,0.12
0.75,0.01,0.13
0.3,0.02,0.13
0.15,0.03,0.13
0.1,0.04,0.13
0.1,0.05,0.13
0.05,0.06,0.13
0.05,0.07,0.13
0.05,0.08,0.13
0.05,0.09,0.13
0.05,0.1,0.13
0.8,0.01,0.14
0.3,0.02,0.14
0.2,0.03,0.14
0.1,0.04,0.14
0.1,0.05,0.14
0.05,0.06,0.14
0.05,0.07,0.14
0.05,0.08,0.14
0.05,0.09,0.14
0.05,0.1,0.14
0.9,0.01,0.15
0.35,0.02,0.15
0.2,0.03,0.15
0.15,0.04,0.15
0.1,0.05,0.15
0.1,0.06,0.15
0.05,0.07,0.15
0.05,0.08,0.15
0.05,0.09,0.15
0.05,0.1,0.15
0.95,0.01,0.16
0.35,0.02,0.16
